a-opplysningsloven	lov/2012-06-22-43
adopsjonsloven	lov/1986-02-28-8
advokatforskriften	forskrift/1996-12-20-1161
afp-tilskottsforskriften	forskrift/2010-11-30-1496
agenturloven|agentloven|agl	lov/1992-06-19-56
aksjeloven|asl	lov/1997-06-13-44
aktieloven	lov/1910-07-19-1
akvakulturreaksjonsforskriften	forskrift/2007-03-29-361
alderstrygdloven	lov/1957-07-06-10
alkoholforskriften	forskrift/2005-06-08-538
alkoholloven|alkhl	lov/1989-06-02-27
almindelig borgerlig straffelov|alminnelig borgerlig straffelov|alminnelige straffelov|almindelige straffelov|alminnelig straffelov|almindelig straffelov|strfl	lov/1902-05-22-10
animaliehygieneforskriften	forskrift/2008-12-22-1624
animaliekontrollforskriften	forskrift/2008-12-22-1622
arbeiderfondloven	lov/1938-04-08-2
arbeidsledighetstrygdloven|arbeidsledighetstrygdloven	lov/1958-06-24-8
arbeidstakeroppfinnelsesloven	lov/1970-04-17-21
arbeidstidsloven	lov/1949-06-10-2|lov/1939-03-10-5
arbeidstvisteloven|arbeidstvistloven	lov/2012-01-27-9|lov/1927-05-05-1
arrestordreforskriften|arrestordreforskrifta	forskrift/2012-09-21-896
arveavgiftsloven|aal	lov/1964-06-19-14
atvl|atl	lov/1927-05-05-1
auksjons- og licitasjonsloven|licitasjonsloven|auksjonsloven	lov/1918-08-14-3
avtaleloven|avt.l|avtl	lov/1918-05-31-4
avviklingsloven	lov/1950-06-30-16
bankadministrasjonsloven|administrasjonsloven	lov/1925-07-17-14
bankinspeksjonsloven|finanstilsynsloven|kredittilynsloven|tilsynsloven	lov/1956-12-07-1
barneloven|barnelova|bl	lov/1981-04-08-7
beiteloven	lov/1961-06-16-12
bergverksloven|lov bergverker	lov/1842-07-14
bergverksordning for svalbard	lov/1925-08-07
beskyttelsesinstruksen	forskrift/1972-03-17-3352
betalingsutjevningsloven	lov/1935-05-31-2
beverterloven	lov/1917-04-02-5
bevertningsskatteloven	lov/1924-08-11-8
bibliotekvederlagsloven	lov/1987-05-29-23
bilansvarsloven|bal	lov/1961-02-03
blankettforskriften	forskrift/1995-11-01-869
blodforskriften	forskrift/2005-02-04-80
bokføringsforskriften	forskrift/2004-12-01-1558
bostøtteloven|bustøttelova|bstl	lov/2012-08-24-64
brennevinsloven|brændevinsloven	lov/1924-08-01-4|lov/1908-08-15-8|lov/1848-08-17-2
bygdeallmenningsloven	lov/1992-06-19-59
bygningsloven for kristiania	lov/1899-05-26-3
byskatteloven	lov/1911-08-18-9
diskrimineringsombudsforskriften	forskrift/2005-12-16-1524
dobbeltbeskatningsavtaleloven	lov/1949-07-28-15
drivstoffanleggloven	lov/1949-03-31-3
dødsstraffloven	lov/1945-07-06
easa-forskriften	forskrift/2005-05-23-459
eiendomsskatteloven|eigedomsskattelova|eigedomskattelova	lov/1975-06-06-29
eksportkredittloven	lov/2012-06-22-57
ekspropriasjonsloven	lov/1959-10-23-3|lov/1918-07-29-4|lov/1894-07-23-7
ekspropriasjonserstatningsloven	lov/1984-04-06-17
ektefellelovens ikrafttredelseslov|ektefællelovens ikrafttrædelseslov|ektefællelov ikrafttrædelseslov|ektefellelov ikrafttredelseslov|ektefællelovens ikrl|ektefællelov ikrl	lov/1927-05-20-2
embedsedloven	lov/1981-05-22-23
energiloven	lov/1990-06-29-50
energimerkeforskriften	forskrift/2009-12-18-1665
engangsskatteloven	lov/1946-07-19-3
enhetsregisterloven	lov/1994-06-03-15
etterligningsloven	lov/1946-07-19-16
europeisk konvensjon om overføring av straffeforfølging|konvensjon om overføring av straffeforfølging|straffeforfølgingsoverføringskonvensjonen|lov om overføring av straffeforfølging	lov/1977-03-25-22
eøfg-loven	lov/1995-12-22-85
felleslappeloven	lov/1883-06-02
ferieloven	lov/1988-04-29-21
fiendegodsloven	lov/1950-12-15-4
fil	lov/1999-06-25-46|lov/1988-06-10-40
film- og videoloven|videogramloven|videogramlova|videogramlov|videoloven|filmloven|filmlova|filmlov	lov/1987-05-15-21
finansieringsvirksomhetsloven|finansieringsloven	lov/1988-06-10-40
fiskeeksportloven	lov/1990-04-27-9
fjellkonsesjonsloven	lov/1915-08-27
fjelloven|fjellova	lov/1975-06-06-31
flaggloven	lov/1898-12-10-1
folkebibliotekloven|bibliotekloven	lov/1985-12-20-108
folkeskoleloven	lov/1959-04-10-1
forbrukerkjøpstvistloven|forbrukertvistloven|forbrtvl	lov/1978-04-28-18
forbud paa vimpel-føring	lov/1741-02-17
foreldreansvarskonvensjonen|barnebortførings-konvensjonen|konvensjon om barnebortføring|konvensjonen om foreldreansvar|konvensjonen om barnebortførings|konvensjon om foreldreansvar|foreldreansvars-konvensjonen|barnebortføringskonvensjonen|europarådskonvensjonen|barnebortføringsloven|europa-konvensjonen|europakonvensjonen|haag-konvensjonen|haagkonvensjonen	lov/1988-07-08-72
forlagspanteloven	lov/1946-03-08-1
forliksloven	lov/1824-07-20
fornminneloven	lov/1951-06-29-3|lov/1905-07-13-4
forpaktningsloven|forpaktingsloven|forpaktingslova	lov/1965-06-25-1
forretningsbankloven	lov/1961-05-24-2
forskrift angående bruk av statsflagget og handelsflagget|flaggforskriften	forskrift/1927-10-21-9733
forskrift for bruk av motorkjøretøyer i utmark og på islagte vassdrag	forskrift/1988-05-15-356
forskrift for ressursforvaltning i petroleumsvirksomheten|ressursforskriften	forskrift/2001-06-18-749
forskrift for sykehjem og boform for heldøgns omsorg og pleie|sykehjemsforskriften	forskrift/1988-11-14-932
forskrift om administrative ordninger på arbeidstilsynets område|forskrift om administrative ordninger	forskrift/2011-12-06-1360
forskrift om alderspensjon i folketrygden	forskrift/2009-12-22-1810
forskrift om angreskjema	forskrift/2001-02-27-221
forskrift om ansattes rett til representasjon i aksjeselskapers|representasjonsforskriften	forskrift/1998-12-18-1205
forskrift om apotek|apotekforskriften	forskrift/2001-02-26-178
forskrift om arbeidsavklaringspenger	forskrift/2010-02-10-152
forskrift om arbeidsmiljølovens anvendelse for personer som ikke er arbeidstakere|forskrift om arbeidsmiljølovens anvendelse	forskrift/2005-12-16-1568
forskrift om arbeidsrettede tiltak mv	forskrift/2008-12-11-1320
forskrift om avgrensning av arbeidsgiveravgiftsfritaket	forskrift/1997-11-19-1173
